customer_id,signup,orders,revenue,aov,recency_days,tenure_days,months_active,loyalty,lifecycle_stage,churned,monthly_value,expected_lifetime_months,clv
0,2025-06,10,2902.88,290.29,19,364,12,0.267,Active,0,241.90666666666667,18.52537977028529,4481.41
1,2026-02,15,2999.08,199.94,3,121,4,0.737,Active,0,749.77,38.789759503491084,29083.4
2,2025-07,33,27682.37,838.86,3,334,11,0.429,Active,0,2516.5790909090906,22.593764121102577,56858.99
3,2025-11,2,570.89,285.44,36,182,6,0.237,Active,0,95.14833333333333,17.927572606669056,1705.78
4,2025-09,6,2001.33,333.56,21,273,9,0.032,Active,0,222.37,14.688601645123386,3266.3
5,2026-01,5,791.78,158.36,10,152,5,0.037,Active,0,158.356,14.75361463558572,2336.32
6,2025-07,4,2319.99,580.0,330,30,1,0.225,Churned,1,2319.99,17.699115044247787,41061.77
7,2025-02,45,23197.37,515.5,11,486,16,0.833,Active,0,1449.835625,48.0,69592.11
8,2025-06,22,14020.64,637.3,23,364,12,0.277,Active,0,1168.3866666666665,18.733608092918697,21888.1
9,2025-12,25,10346.4,413.86,23,182,6,0.543,Active,0,1724.3999999999999,26.723677177979695,46082.31
10,2025-12,2,1604.55,802.28,28,182,6,0.14,New,0,267.425,16.233766233766232,4341.31
11,2026-06,1,214.86,214.86,0,16,1,0.4,New,0,214.86,21.73913043478261,4670.87
12,2025-05,23,2990.92,130.04,20,395,13,0.029,Active,0,230.07076923076923,14.64986815118664,3370.51
13,2025-08,32,7103.95,222.0,13,304,10,0.677,Active,0,710.395,34.036759700476516,24179.54
14,2026-05,2,986.2,493.1,4,30,1,0.194,New,0,986.2,17.135023989033584,16898.56
15,2025-03,20,23076.06,1153.8,181,304,10,0.384,Dormant,1,2307.606,21.29471890971039,49139.82
16,2026-01,5,1122.84,224.57,15,152,5,0.142,Active,0,224.56799999999998,16.26545217957059,3652.7
17,2026-06,2,1472.88,736.44,0,28,1,0.071,New,0,1472.88,15.211439002129604,22404.62
18,2026-05,1,803.94,803.94,20,30,1,0.492,New,0,803.94,24.703557312252965,19860.18
19,2026-01,9,2565.73,285.08,29,151,5,0.376,Active,0,513.146,21.079258010118043,10816.74
20,2026-04,3,5192.62,1730.87,4,60,2,0.673,Active,0,2596.31,33.76097231600271,87653.95
21,2025-04,88,61125.14,694.6,14,425,14,0.506,Active,0,4366.081428571429,25.22704339051463,110143.33
22,2026-02,10,5597.65,559.76,16,121,4,0.862,Active,0,1399.4125,48.0,67171.8
23,2025-12,10,5354.68,535.47,1,182,6,0.586,Active,0,892.4466666666667,28.702640642939148,25615.58
24,2025-10,20,7994.11,399.71,29,243,8,0.5,Active,0,999.26375,25.0,24981.59
25,2026-06,1,1075.43,1075.43,0,9,1,0.411,New,0,1075.43,22.055580061755624,23719.23
26,2026-04,1,782.46,782.46,29,60,2,0.451,New,0,391.23,23.28830926874709,9111.09
27,2025-04,36,46080.26,1280.01,7,425,14,0.639,Active,0,3291.447142857143,31.585596967782692,103962.32
28,2026-06,1,756.46,756.46,0,16,1,0.09,New,0,756.46,15.479876160990711,11709.91
29,2026-04,7,2999.07,428.44,24,60,2,0.05,Active,0,1499.535,14.92537313432836,22381.12
30,2025-07,61,10787.56,176.85,10,334,11,0.227,Active,0,980.6872727272727,17.7367860943597,17394.24
31,2026-01,28,11648.56,416.02,16,152,5,0.326,Active,0,2329.712,19.825535289452816,46187.79
32,2026-02,13,7803.07,600.24,2,121,4,0.738,Active,0,1950.7675,38.88024883359253,75846.33
33,2025-04,13,3329.92,256.15,214,212,7,0.471,Dormant,1,475.70285714285717,23.957834211787254,11396.81
34,2025-05,11,13888.39,1262.58,253,151,5,0.33,Churned,1,2777.678,19.920318725099605,55332.23
35,2025-04,36,26252.32,729.23,21,425,14,0.151,Active,0,1875.1657142857143,16.409583196586805,30770.69
36,2025-09,84,53596.81,638.06,22,273,9,0.496,Active,0,5955.201111111111,24.85089463220676,147992.08
37,2026-05,9,2805.6,311.73,0,30,1,0.498,Active,0,2805.6,24.925224327018945,69930.21
38,2025-07,17,7043.76,414.34,1,334,11,0.452,Active,0,640.3418181818182,23.32089552238806,14933.34
39,2025-07,66,22649.26,343.17,28,334,11,0.431,Active,0,2059.0236363636363,22.655188038060718,46647.57
40,2026-05,1,213.48,213.48,17,30,1,0.586,New,0,213.48,28.702640642939148,6127.44
41,2025-08,12,7447.48,620.62,4,303,10,0.503,Active,0,744.7479999999999,25.113008538422903,18702.86
42,2025-02,1,488.29,488.29,482,30,1,0.389,Churned,1,488.29,21.43163309044149,10464.85
43,2025-12,17,4194.5,246.74,9,182,6,0.322,Active,0,699.0833333333334,19.731649565903712,13794.07
44,2026-02,18,6069.79,337.21,12,121,4,0.331,Active,0,1517.4475,19.94415636218588,30264.21
45,2025-08,9,2246.69,249.63,35,273,9,0.112,Active,0,249.63222222222223,15.802781289506953,3944.88
46,2026-05,3,1895.39,631.8,5,30,1,0.481,Active,0,1895.39,24.307243558580456,46071.71
47,2025-01,25,15290.7,611.63,181,364,12,0.103,Dormant,1,1274.2250000000001,15.669069257286116,19965.92
48,2026-04,3,1577.5,525.83,17,60,2,0.637,Active,0,788.75,31.466331025802397,24819.07
49,2025-05,4,2628.46,657.12,345,60,2,0.26,Churned,1,1314.23,18.38235294117647,24158.64
