customer_id,orders,total_spend,avg_order_value,return_rate,n_provinces,avg_discount,max_qty,is_fraud,iso_flag,flag_return_abuse,flag_velocity,flag_multi_province,risk_score
0,12,7233.59,602.7991666666667,0.16666666666666666,2,4.583333333333333,3,0,0,0,0,0,0
1,6,2838.6800000000003,473.1133333333334,0.16666666666666666,1,6.666666666666667,2,0,0,0,0,0,0
2,11,4808.5599999999995,437.1418181818181,0.18181818181818182,5,0.9090909090909091,2,0,0,0,0,0,0
3,14,7694.42,549.6014285714285,0.0,3,1.7857142857142858,2,0,0,0,0,0,0
4,10,5509.39,550.9390000000001,0.0,2,4.0,2,0,0,0,0,0,0
5,11,6242.18,567.4709090909091,0.09090909090909091,2,5.454545454545454,3,0,0,0,0,0,0
6,10,8754.73,875.473,0.0,2,6.0,4,0,0,0,0,0,0
7,17,14801.74,870.6905882352941,0.058823529411764705,2,6.176470588235294,2,0,0,0,0,0,0
8,17,14811.74,871.2788235294117,0.0,3,6.470588235294118,4,0,0,0,0,0,0
9,10,4171.55,417.15500000000003,0.1,2,1.5,2,0,0,0,0,0,0
10,17,12719.25,748.1911764705883,0.17647058823529413,4,3.823529411764706,2,0,0,0,0,0,0
11,13,10529.470000000001,809.9592307692309,0.07692307692307693,2,3.8461538461538463,2,0,0,0,0,0,0
12,6,4953.05,825.5083333333333,0.0,1,6.666666666666667,5,0,0,0,0,0,0
13,17,8831.960000000001,519.5270588235295,0.0,3,5.882352941176471,3,0,0,0,0,0,0
14,11,6412.95,582.9954545454545,0.09090909090909091,2,6.818181818181818,2,0,0,0,0,0,0
15,11,4884.07,444.00636363636363,0.09090909090909091,2,5.909090909090909,3,0,0,0,0,0,0
16,17,9784.81,575.5770588235293,0.058823529411764705,3,2.6470588235294117,4,0,0,0,0,0,0
17,14,11186.13,799.0092857142856,0.0,1,4.642857142857143,2,0,0,0,0,0,0
18,7,4209.98,601.4257142857142,0.0,2,7.857142857142857,3,0,0,0,0,0,0
19,8,3460.16,432.52,0.125,1,3.75,2,0,0,0,0,0,0
20,16,7002.16,437.635,0.0625,1,5.9375,2,0,0,0,0,0,0
21,39,20775.77,532.7120512820513,0.41025641025641024,7,4.743589743589744,3,1,1,1,1,1,4
22,17,11281.94,663.6435294117647,0.11764705882352941,4,4.705882352941177,3,0,0,0,0,0,0
23,19,9166.460000000001,482.4452631578948,0.05263157894736842,3,4.7368421052631575,2,0,0,0,0,0,0
24,15,7482.5599999999995,498.8373333333333,0.2,5,4.0,2,0,0,0,0,0,0
25,6,2717.05,452.8416666666667,0.16666666666666666,3,2.5,2,0,0,0,0,0,0
26,6,4522.2,753.6999999999999,0.3333333333333333,3,2.5,2,0,0,1,0,0,1
27,13,6372.48,490.1907692307692,0.15384615384615385,4,4.615384615384615,3,0,0,0,0,0,0
28,15,5853.45,390.22999999999996,0.06666666666666667,2,7.333333333333333,3,0,0,0,0,0,0
29,6,1502.78,250.46333333333334,0.16666666666666666,1,3.3333333333333335,2,0,0,0,0,0,0
30,15,9104.44,606.9626666666667,0.06666666666666667,3,2.6666666666666665,2,0,0,0,0,0,0
31,6,4374.62,729.1033333333334,0.16666666666666666,1,4.166666666666667,1,0,0,0,0,0,0
32,17,9040.64,531.8023529411764,0.058823529411764705,3,5.294117647058823,4,0,0,0,0,0,0
33,6,2480.23,413.37166666666667,0.0,1,0.0,2,0,0,0,0,0,0
34,8,5922.89,740.36125,0.125,3,1.25,2,0,0,0,0,0,0
35,13,7888.93,606.8407692307693,0.15384615384615385,2,5.769230769230769,3,0,0,0,0,0,0
36,14,10875.87,776.8478571428572,0.0,2,1.7857142857142858,2,0,0,0,0,0,0
37,7,7720.71,1102.9585714285715,0.0,1,3.5714285714285716,2,0,0,0,0,0,0
38,16,10219.42,638.71375,0.1875,3,2.8125,4,0,0,0,0,0,0
39,15,7758.45,517.23,0.0,1,7.0,4,0,0,0,0,0,0
40,19,8544.86,449.7294736842106,0.0,3,4.2105263157894735,3,0,0,0,0,0,0
41,15,13164.25,877.6166666666667,0.13333333333333333,5,4.666666666666667,5,0,0,0,0,0,0
42,6,2493.17,415.52833333333336,0.3333333333333333,2,2.5,3,0,0,1,0,0,1
43,11,6502.530000000001,591.139090909091,0.0,2,1.8181818181818181,3,0,0,0,0,0,0
44,19,7428.49,390.97315789473686,0.05263157894736842,2,4.2105263157894735,4,0,0,0,0,0,0
45,11,7890.84,717.3490909090909,0.09090909090909091,2,3.1818181818181817,2,0,0,0,0,0,0
46,18,11433.289999999999,635.1827777777777,0.0,3,3.3333333333333335,3,0,0,0,0,0,0
47,9,6122.37,680.2633333333333,0.0,1,6.666666666666667,5,0,0,0,0,0,0
48,19,7126.16,375.06105263157895,0.05263157894736842,2,6.842105263157895,2,0,0,0,0,0,0
49,18,6959.74,386.65222222222224,0.1111111111111111,4,5.0,3,0,0,0,0,0,0
50,14,16978.47,1212.7478571428571,0.0,3,5.0,3,0,0,0,0,0,0
51,18,14273.83,792.9905555555556,0.1111111111111111,3,6.944444444444445,4,0,0,0,0,0,0
52,7,3642.1499999999996,520.3071428571428,0.0,3,3.5714285714285716,3,0,0,0,0,0,0
53,11,8871.890000000001,806.5354545454546,0.0,2,5.909090909090909,3,0,0,0,0,0,0
54,10,6533.2,653.3199999999999,0.0,2,5.0,2,0,0,0,0,0,0
55,12,7645.82,637.1516666666666,0.08333333333333333,4,8.75,4,0,0,0,0,0,0
56,11,8052.070000000001,732.0063636363637,0.0,3,5.454545454545454,3,0,0,0,0,0,0
57,19,16392.42,862.758947368421,0.05263157894736842,4,5.0,4,0,0,0,0,0,0
58,7,5008.09,715.4414285714286,0.14285714285714285,2,2.857142857142857,3,0,0,0,0,0,0
59,8,5238.82,654.8525,0.125,3,6.875,5,0,0,0,0,0,0
60,12,8052.76,671.0633333333334,0.08333333333333333,4,1.25,3,0,0,0,0,0,0
61,13,4861.49,373.9607692307692,0.0,1,3.8461538461538463,3,0,0,0,0,0,0
62,15,19958.28,1330.552,0.0,4,6.0,4,0,0,0,0,0,0
63,17,9245.2,543.8352941176471,0.0,3,4.117647058823529,3,0,0,0,0,0,0
64,13,7591.13,583.9330769230769,0.0,3,3.8461538461538463,2,0,0,0,0,0,0
65,16,10633.84,664.615,0.0,3,6.5625,3,0,0,0,0,0,0
66,12,12096.65,1008.0541666666667,0.08333333333333333,2,5.0,5,0,0,0,0,0,0
67,14,7953.04,568.0742857142857,0.07142857142857142,3,2.142857142857143,2,0,0,0,0,0,0
68,7,4290.68,612.9542857142858,0.0,4,4.285714285714286,2,0,0,0,0,0,0
69,17,8766.92,515.7011764705883,0.11764705882352941,6,5.0,3,0,0,0,0,1,1
70,19,13770.69,724.7731578947369,0.05263157894736842,3,2.3684210526315788,3,0,0,0,0,0,0
